time,open,high,low,close,volume
01/02/17,98.53,100.35,98.53,99.81,265148
02/02/17,99.73,101.65,99.67,100.90,250528
03/02/17,100.95,103.05,100.95,102.50,265971
06/02/17,102.60,102.75,101.15,101.70,189153
07/02/17,101.70,101.70,100.65,100.70,221473
08/02/17,101.25,102.20,100.80,101.75,225905
09/02/17,102.00,102.25,101.20,102.25,168753
10/02/17,102.70,103.60,102.45,103.50,180088
13/02/17,103.50,105.25,103.15,104.85,213417
14/02/17,104.80,105.55,104.40,105.15,205694
15/02/17,105.30,105.95,105.15,105.20,311655
16/02/17,105.40,105.90,104.90,105.90,207285
17/02/17,105.65,105.80,104.30,105.05,295764
20/02/17,105.50,106.75,104.80,105.20,189199
21/02/17,105.00,106.00,104.65,105.60,218798
22/02/17,106.80,108.40,105.15,107.80,445538
23/02/17,107.15,109.30,107.15,108.60,425907
24/02/17,108.20,109.95,108.10,108.80,354842
27/02/17,109.45,112.90,109.20,112.00,455323
28/02/17,111.95,112.10,110.85,111.50,394781
01/03/17,111.65,112.50,109.55,111.30,387363
02/03/17,111.50,111.85,109.70,110.55,429122
03/03/17,110.40,111.25,110.15,110.65,250019
06/03/17,110.65,110.75,109.85,110.30,167856
07/03/17,110.30,111.60,110.15,110.85,289102
08/03/17,110.35,110.95,109.85,110.70,185253
09/03/17,110.70,112.35,110.00,112.20,325132
10/03/17,113.00,113.00,110.90,111.85,451567
13/03/17,112.05,112.85,111.65,112.60,227687
14/03/17,112.95,113.80,111.50,113.30,279518
15/03/17,113.60,113.65,112.65,112.95,209283
16/03/17,113.35,114.10,113.35,114.00,226784
17/03/17,113.40,113.40,111.40,111.40,2071600
20/03/17,111.10,112.70,110.15,111.45,374095
21/03/17,111.95,112.05,110.75,110.95,217096
22/03/17,110.30,111.25,109.45,111.25,319212
23/03/17,111.00,112.20,110.55,111.85,232764
24/03/17,112.00,113.25,111.75,113.20,241609
27/03/17,112.65,113.15,111.70,113.15,272542
28/03/17,113.80,114.45,113.35,113.70,228225
29/03/17,113.60,114.60,113.30,114.60,179956
30/03/17,114.50,115.05,114.00,115.00,200106
31/03/17,114.65,116.20,114.40,115.95,228496
03/04/17,116.50,116.65,115.05,115.35,199413
04/04/17,115.55,116.05,114.60,115.05,194180
05/04/17,114.70,115.65,114.25,115.50,240255
06/04/17,115.55,115.60,114.70,115.55,216647
07/04/17,115.10,115.80,114.70,115.70,176960
10/04/17,115.70,116.20,114.85,115.20,188286
11/04/17,114.50,115.45,113.50,114.40,266628
